a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
0.730000 	 0.690000 	 0.730000 	 0.710000 	 14.100000 	 12.820000 	 14.440000 	 13.600000 	 440.640000 	 441.900000 	 468.430000 	 454.970000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.710000 	 0.770000 	 0.740000 	 13.850000 	 11.980000 	 14.060000 	 12.980000 	 453.500000 	 437.970000 	 474.770000 	 456.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.700000 	 0.750000 	 0.730000 	 14.240000 	 12.100000 	 13.890000 	 12.960000 	 440.260000 	 437.420000 	 467.370000 	 452.150000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.720000 	 0.770000 	 0.750000 	 14.980000 	 14.340000 	 16.480000 	 15.370000 	 421.620000 	 409.240000 	 436.840000 	 422.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.730000 	 0.710000 	 15.180000 	 14.140000 	 15.370000 	 14.740000 	 408.070000 	 410.300000 	 428.570000 	 419.340000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.750000 	 0.810000 	 0.780000 	 15.860000 	 15.890000 	 18.900000 	 17.330000 	 407.900000 	 366.790000 	 397.070000 	 381.630000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.690000 	 0.730000 	 0.710000 	 16.290000 	 14.920000 	 16.900000 	 15.880000 	 408.450000 	 417.770000 	 443.480000 	 430.430000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.740000 	 0.790000 	 0.760000 	 16.010000 	 15.020000 	 17.620000 	 16.270000 	 417.240000 	 393.800000 	 424.490000 	 408.860000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.730000 	 0.780000 	 0.760000 	 15.150000 	 14.690000 	 17.260000 	 15.920000 	 451.730000 	 422.650000 	 455.880000 	 438.950000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.500000 	 0.520000 	 0.510000 	 21.310000 	 18.460000 	 20.040000 	 19.230000 	 532.330000 	 568.710000 	 596.000000 	 582.190000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.540000 	 0.560000 	 0.550000 	 20.600000 	 20.250000 	 21.740000 	 20.980000 	 542.290000 	 523.850000 	 544.580000 	 534.120000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.510000 	 0.540000 	 0.520000 	 20.970000 	 18.460000 	 21.220000 	 19.790000 	 543.150000 	 553.590000 	 596.710000 	 574.750000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.520000 	 0.550000 	 0.540000 	 19.920000 	 18.960000 	 21.170000 	 20.040000 	 578.910000 	 562.360000 	 595.640000 	 578.760000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.480000 	 0.520000 	 0.500000 	 21.130000 	 16.270000 	 19.640000 	 17.870000 	 583.230000 	 632.760000 	 702.320000 	 666.630000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.550000 	 0.570000 	 0.560000 	 20.570000 	 20.440000 	 22.120000 	 21.260000 	 594.150000 	 564.230000 	 590.380000 	 577.160000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.520000 	 0.530000 	 0.520000 	 20.770000 	 19.580000 	 21.060000 	 20.310000 	 599.000000 	 604.030000 	 629.140000 	 616.460000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
