a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
0.750000 	 0.740000 	 0.780000 	 0.760000 	 14.320000 	 13.860000 	 15.600000 	 14.710000 	 248.010000 	 238.180000 	 252.010000 	 245.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.750000 	 0.790000 	 0.770000 	 14.220000 	 14.290000 	 15.860000 	 15.050000 	 245.960000 	 234.290000 	 246.100000 	 240.120000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.740000 	 0.740000 	 0.780000 	 0.760000 	 14.690000 	 14.880000 	 16.900000 	 15.860000 	 234.700000 	 221.000000 	 234.930000 	 227.860000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.690000 	 0.750000 	 0.720000 	 15.930000 	 12.450000 	 14.830000 	 13.590000 	 213.190000 	 219.480000 	 240.050000 	 229.530000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.770000 	 0.750000 	 15.320000 	 14.600000 	 16.060000 	 15.320000 	 211.520000 	 199.910000 	 209.420000 	 204.610000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.730000 	 0.770000 	 0.750000 	 16.940000 	 15.970000 	 17.760000 	 16.840000 	 209.360000 	 200.260000 	 211.280000 	 205.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.730000 	 0.700000 	 0.760000 	 0.730000 	 16.110000 	 14.680000 	 17.540000 	 16.050000 	 217.010000 	 206.940000 	 226.560000 	 216.530000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.750000 	 0.700000 	 0.730000 	 0.720000 	 16.640000 	 15.040000 	 16.560000 	 15.780000 	 225.700000 	 231.770000 	 242.840000 	 237.240000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.760000 	 0.760000 	 0.830000 	 0.790000 	 16.250000 	 16.080000 	 19.280000 	 17.610000 	 236.220000 	 216.730000 	 235.260000 	 225.800000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.530000 	 0.560000 	 0.550000 	 20.120000 	 19.280000 	 21.740000 	 20.470000 	 517.040000 	 496.570000 	 529.350000 	 512.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.520000 	 0.560000 	 0.540000 	 19.810000 	 19.090000 	 21.500000 	 20.260000 	 518.170000 	 500.380000 	 532.600000 	 516.240000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.530000 	 0.550000 	 0.540000 	 19.370000 	 18.560000 	 20.210000 	 19.370000 	 497.890000 	 492.280000 	 518.400000 	 505.170000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.530000 	 0.560000 	 0.550000 	 17.580000 	 17.500000 	 19.570000 	 18.510000 	 486.800000 	 460.380000 	 486.790000 	 473.400000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.510000 	 0.540000 	 0.530000 	 17.330000 	 15.790000 	 17.780000 	 16.760000 	 456.680000 	 457.720000 	 486.230000 	 471.760000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.550000 	 0.520000 	 0.550000 	 0.530000 	 17.650000 	 16.600000 	 18.530000 	 17.540000 	 443.060000 	 443.060000 	 467.850000 	 455.280000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.540000 	 0.540000 	 0.560000 	 0.550000 	 17.780000 	 17.370000 	 19.060000 	 18.200000 	 454.670000 	 436.420000 	 458.740000 	 447.440000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
