a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
 0.710000 	 0.550000 	 0.570000 	 0.560000 	 14.920000 	 10.690000 	 11.370000 	 11.020000 	 394.120000 	 520.280000 	 552.460000 	 536.130000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.560000 	 0.590000 	 0.570000 	 15.210000 	 10.690000 	 11.560000 	 11.120000 	 413.990000 	 531.530000 	 573.460000 	 552.100000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.570000 	 0.610000 	 0.590000 	 13.680000 	 10.260000 	 11.210000 	 10.720000 	 446.710000 	 539.120000 	 587.490000 	 562.780000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.570000 	 0.600000 	 0.590000 	 13.940000 	 10.170000 	 11.070000 	 10.610000 	 448.880000 	 556.790000 	 605.180000 	 580.480000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.510000 	 0.540000 	 0.530000 	 13.140000 	 8.420000 	 9.040000 	 8.720000 	 489.820000 	 686.370000 	 735.390000 	 710.460000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.510000 	 0.540000 	 0.530000 	 13.290000 	 8.550000 	 9.150000 	 8.850000 	 471.280000 	 664.190000 	 709.250000 	 686.350000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.540000 	 0.570000 	 0.550000 	 14.280000 	 9.250000 	 10.000000 	 9.620000 	 451.240000 	 614.170000 	 662.040000 	 637.660000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.510000 	 0.530000 	 0.520000 	 14.720000 	 9.130000 	 9.710000 	 9.420000 	 408.020000 	 592.980000 	 628.850000 	 610.650000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.510000 	 0.530000 	 0.520000 	 15.610000 	 9.370000 	 10.030000 	 9.690000 	 405.730000 	 594.310000 	 634.940000 	 614.290000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
