x		y		e
9.9999999999999995e-07	2.9857004524370923e-04	0.0000000000000000e+00
1.9999999999999999e-06	7.3782679981870553e-04	0.0000000000000000e+00
3.0000000000000001e-06	1.1940419703699353e-03	0.0000000000000000e+00
3.9999999999999998e-06	1.6704032484279447e-03	0.0000000000000000e+00
4.9999999999999996e-06	2.1569547516566263e-03	0.0000000000000000e+00
6.0000000000000002e-06	2.6507232365972255e-03	0.0000000000000000e+00
6.9999999999999999e-06	3.1501701006383773e-03	0.0000000000000000e+00
7.9999999999999996e-06	3.6539431906032005e-03	0.0000000000000000e+00
9.0000000000000002e-06	4.1610503195495131e-03	0.0000000000000000e+00
9.9999999999999991e-06	4.6707599249166025e-03	0.0000000000000000e+00
1.1000000000000000e-05	5.1825742116461239e-03	0.0000000000000000e+00
1.2000000000000000e-05	5.6961746802227922e-03	0.0000000000000000e+00
1.2999999999999999e-05	6.2114437226528279e-03	0.0000000000000000e+00
1.4000000000000000e-05	6.7280472568161838e-03	0.0000000000000000e+00
1.4999999999999999e-05	7.2458568953032414e-03	0.0000000000000000e+00
1.6500000000000001e-05	8.0245117370577549e-03	2.5984132605170660e-04
1.8000000000000000e-05	8.8047385412955356e-03	0.0000000000000000e+00
1.8999999999999998e-05	9.3258629326561926e-03	0.0000000000000000e+00
2.0499999999999997e-05	1.0108561969586394e-02	2.6100895925323524e-04
2.2499999999999998e-05	1.1153075410051640e-02	2.6121781678816955e-04
2.4499999999999999e-05	1.2198495285849788e-02	2.6140443775240265e-04
2.6500000000000000e-05	1.3244357029419904e-02	2.6150704713671729e-04
2.8500000000000002e-05	1.4290585939702342e-02	2.6159491915693479e-04
3.0499999999999999e-05	1.5337121636960615e-02	2.6165414803846847e-04
3.2999999999999996e-05	1.6645293634439590e-02	3.0207040348807177e-04
3.5499999999999996e-05	1.7953318329371776e-02	2.6150206679301864e-04
3.7999999999999995e-05	1.9260594778938517e-02	3.0187648774394980e-04
4.0999999999999994e-05	2.0828447132372235e-02	3.0155189289217399e-04
4.4500000000000004e-05	2.2655262837583394e-02	3.3675705923185681e-04
4.8500000000000000e-05	2.4740154900739122e-02	3.3605883820186721e-04
5.2500000000000002e-05	2.6820441619088690e-02	3.3531613389804245e-04
5.6499999999999998e-05	2.8895017626660174e-02	3.3426654401566195e-04
6.0999999999999999e-05	3.1221254370909522e-02	3.6489125006452367e-04
6.6000000000000005e-05	3.3796527157902337e-02	3.6355219268780165e-04
7.0999999999999991e-05	3.6362098891774337e-02	3.6210539618561794e-04
7.6500000000000003e-05	3.9172130701341304e-02	3.8945642260405304e-04
8.2500000000000000e-05	4.2225427846896195e-02	3.8786670844062512e-04
8.8999999999999995e-05	4.5517088724006075e-02	4.1239513311180784e-04
9.5999999999999989e-05	4.9042508601955810e-02	4.0998828688863933e-04
1.0349999999999999e-04	5.2795528847351114e-02	4.3208613199422846e-04
1.1199999999999997e-04	5.7021242795477142e-02	4.5225383496137446e-04
1.2099999999999999e-04	6.1463708203016991e-02	4.4901527392005188e-04
1.3050000000000000e-04	6.6121724574802171e-02	4.6794879678706627e-04
1.4100000000000001e-04	7.1231337985670426e-02	4.8457142122109245e-04
1.5249999999999999e-04	7.6776465223027182e-02	4.9954263914020035e-04
1.6500000000000003e-04	8.2745237051802395e-02	5.1319561427538895e-04
1.7800000000000002e-04	8.8887835561817577e-02	5.0750415395833207e-04
1.9200000000000000e-04	9.5426381424740483e-02	5.3624633709160462e-04
2.0750000000000000e-04	1.0257942404223259e-01	5.4592357646940761e-04
2.2400000000000000e-04	1.1009021593114318e-01	5.5362273622229280e-04
2.4200000000000003e-04	1.1816722065928309e-01	5.7511383681191840e-04
2.6150000000000001e-04	1.2678744137359002e-01	5.8008987129527854e-04
2.8200000000000002e-04	1.3570231926978693e-01	5.8400331340333967e-04
3.0450000000000003e-04	1.4530860115459063e-01	6.1024920134703138e-04
3.2899999999999992e-04	1.5557241977844119e-01	6.1090140200235064e-04
3.5500000000000001e-04	1.6623489375468839e-01	6.1968963725780001e-04
3.8350000000000000e-04	1.7766315535057109e-01	6.3702768284437780e-04
4.1399999999999998e-04	1.8961810804915591e-01	6.3318495903485290e-04
4.4699999999999997e-04	2.0226065868135601e-01	6.5595673597113253e-04
4.8299999999999992e-04	2.1570824060556712e-01	6.5496892710649121e-04
5.2150000000000005e-04	2.2967992351464281e-01	6.6177206752655448e-04
5.6300000000000002e-04	2.4428120929167482e-01	6.6244136206625517e-04
6.0749999999999997e-04	2.5943996214850268e-01	6.6335872349316605e-04
6.5600000000000001e-04	2.7535886336098436e-01	6.6941843168091190e-04
7.0849999999999982e-04	2.9188367467225962e-01	6.5931191131256099e-04
7.6500000000000005e-04	3.0885749533651968e-01	6.5533235878971962e-04
8.2599999999999969e-04	3.2635771556178039e-01	6.4821725253593355e-04
8.9200000000000011e-04	3.4426703712140494e-01	6.3380943008790912e-04
9.6299999999999966e-04	3.6232352508260163e-01	6.1317819536179416e-04
1.0394999999999998e-03	3.8062420631776012e-01	6.0275000465098911e-04
1.1225000000000000e-03	3.9923998068975203e-01	5.8292337874453959e-04
1.2120000000000000e-03	4.1780791034375919e-01	5.5861496230106980e-04
1.3090000000000003e-03	4.3639622647480802e-01	5.3700382926491258e-04
1.4134999999999998e-03	4.5491657026310822e-01	5.1179576054945859e-04
1.5259999999999998e-03	4.7311312823771912e-01	4.8515300590985095e-04
1.6480000000000006e-03	4.9112904954505587e-01	4.6118461849470961e-04
1.7795000000000005e-03	5.0858093480463806e-01	4.2010666467029423e-04
