x		y		e
4.9999999999999998e-07	3.9484784653716993e-04	3.9484784653716993e-04
1.9999999999999999e-06	1.9738349740873709e-03	0.0000000000000000e+00
3.0000000000000001e-06	3.2024245466986956e-03	0.0000000000000000e+00
3.9999999999999998e-06	4.4795933463816886e-03	0.0000000000000000e+00
4.9999999999999996e-06	5.7828655008100487e-03	0.0000000000000000e+00
6.0000000000000002e-06	7.1044846252928239e-03	0.0000000000000000e+00
6.9999999999999999e-06	8.4399402451406768e-03	0.0000000000000000e+00
7.9999999999999996e-06	9.7857068097774204e-03	0.0000000000000000e+00
9.0000000000000002e-06	1.1139365118489042e-02	0.0000000000000000e+00
9.9999999999999991e-06	1.2499473676995871e-02	0.0000000000000000e+00
1.1000000000000000e-05	1.3864550626628598e-02	0.0000000000000000e+00
1.2000000000000000e-05	1.5234134132666954e-02	0.0000000000000000e+00
1.2999999999999999e-05	1.6606894485028893e-02	0.0000000000000000e+00
1.4000000000000000e-05	1.7982381818437882e-02	0.0000000000000000e+00
1.4999999999999999e-05	1.9359442494825393e-02	0.0000000000000000e+00
1.6500000000000001e-05	2.1428010277482257e-02	6.8999530000512469e-04
1.8000000000000000e-05	2.3498644773427370e-02	0.0000000000000000e+00
1.8999999999999998e-05	2.4879682459383400e-02	0.0000000000000000e+00
2.0499999999999997e-05	2.6951737567405966e-02	6.9072312527888218e-04
2.2499999999999998e-05	2.9713780037839504e-02	6.9018518232509454e-04
2.4499999999999999e-05	3.2473167006030687e-02	6.8947670150806611e-04
2.6500000000000000e-05	3.5229909830882436e-02	6.8867435206378103e-04
2.8500000000000002e-05	3.7982765194956761e-02	6.8777645717030744e-04
3.0499999999999999e-05	4.0731361712699005e-02	6.8652914450126974e-04
3.2999999999999996e-05	4.4160092289219292e-02	7.9093762763108807e-04
3.5499999999999996e-05	4.7580247192742064e-02	6.8263540161057749e-04
3.7999999999999995e-05	5.0987567292615769e-02	7.8560051756232060e-04
4.0999999999999994e-05	5.5061116594574418e-02	7.8233326457990548e-04
4.4500000000000004e-05	5.9792377027213538e-02	8.7080963067039509e-04
4.8500000000000000e-05	6.5173202378432882e-02	8.6573412924312700e-04
5.2500000000000002e-05	7.0519188901073698e-02	8.5978284530139509e-04
5.6499999999999998e-05	7.5828812614010935e-02	8.5396804506132433e-04
6.0999999999999999e-05	8.1759279986074546e-02	9.2856612201254929e-04
6.6000000000000005e-05	8.8297177643225311e-02	9.2056955992526868e-04
7.0999999999999991e-05	9.4779341711896586e-02	9.1284376001255028e-04
7.6500000000000003e-05	1.0184595077082438e-01	9.7717771416623448e-04
8.2500000000000000e-05	1.0948672241140441e-01	9.6788407873352211e-04
8.8999999999999995e-05	1.1767734199673559e-01	1.0230808192293090e-03
9.5999999999999989e-05	1.2639100686504998e-01	1.0098266437937966e-03
1.0349999999999999e-04	1.3559856814222748e-01	1.0556291094993358e-03
1.1199999999999997e-04	1.4587674589250782e-01	1.0952594176801736e-03
1.2099999999999999e-04	1.5658933908900508e-01	1.0782987744630743e-03
1.3050000000000000e-04	1.6771057160408565e-01	1.1104897573888113e-03
1.4100000000000001e-04	1.7975586280137845e-01	1.1351173896177486e-03
1.5249999999999999e-04	1.9266836886207464e-01	1.1556319640683049e-03
1.6500000000000003e-04	2.0637635188371237e-01	1.1705352344949906e-03
1.7800000000000002e-04	2.2028204282664451e-01	1.1405967561236639e-03
1.9200000000000000e-04	2.3484032943598385e-01	1.1834218416834977e-03
2.0750000000000000e-04	2.5047077331316298e-01	1.1818589404525596e-03
2.2400000000000000e-04	2.6659642737574624e-01	1.1780986794439410e-03
2.4200000000000003e-04	2.8361285338645037e-01	1.1995549931382310e-03
2.6150000000000001e-04	3.0135079436872042e-01	1.1785199172595425e-03
2.8200000000000002e-04	3.1925285904944573e-01	1.1589757748192544e-03
3.0450000000000003e-04	3.3809347684072333e-01	1.1822391418998006e-03
3.2899999999999992e-04	3.5765019310308616e-01	1.1458374612419310e-03
3.5500000000000001e-04	3.7736952815460301e-01	1.1297312357706039e-03
3.8350000000000000e-04	3.9787704179552968e-01	1.1259549403684122e-03
4.1399999999999998e-04	4.1858397749917686e-01	1.0736168852946903e-03
4.4699999999999997e-04	4.3950754244369084e-01	1.0610530220055586e-03
4.8299999999999992e-04	4.6086108307592488e-01	1.0230016060404632e-03
5.2150000000000005e-04	4.8217550703534079e-01	9.8561796164997888e-04
5.6300000000000002e-04	5.0337860579626192e-01	9.3512390688659820e-04
6.0749999999999997e-04	5.2404086638838776e-01	8.7653412521735167e-04
6.5600000000000001e-04	5.4448104852921198e-01	8.3485738488834076e-04
7.0849999999999982e-04	5.6442242198498938e-01	7.6753407566181541e-04
7.6500000000000005e-04	5.8341393219316440e-01	7.0633513082020340e-04
8.2599999999999969e-04	6.0145377850709991e-01	6.4163767953971890e-04
8.9200000000000011e-04	6.1866343922964773e-01	5.9290009778458950e-04
9.6299999999999966e-04	6.3498761857340891e-01	5.3246307141853510e-04
1.0394999999999998e-03	6.5030326502807589e-01	4.8363548191763384e-04
1.1225000000000000e-03	6.6470697743360652e-01	4.3504834823651243e-04
1.2120000000000000e-03	6.7792195166946623e-01	3.8032155472514920e-04
1.3090000000000003e-03	6.8996741171398923e-01	3.2843294834182616e-04
1.4134999999999998e-03	7.0084867242148363e-01	2.9244388521202448e-04
1.5259999999999998e-03	7.1092431045302718e-01	2.5688310296080624e-04
1.6480000000000006e-03	7.1993086340538537e-01	2.1389831790386899e-04
1.7795000000000005e-03	7.2741962804997085e-01	1.6919586596598568e-04
