a0(um) 	 amin(um) 	 amax(um) 	 afit(um) 	 k0(uN/m) 	 kmin(uN/m) 	 kmax(uN/m) 	 kfit(uN/m) 	 b0(uN/m) 	 bmin(V^2/nm^2) 	 bmax(V^2/nm^2) 	 bfit(V^2/nm^2) 	 psd0(V^2/Hz) 	  psdmin(V^2/Hz) 	  psdmax(V^2/Hz) 	  psdfit(V^2/Hz) 	 msd0(V^2) 	  msdmin(V^2) 	  msdmax(V^2) 	  msdfit(V^2)
0.700000 	 0.660000 	 0.680000 	 0.670000 	 13.470000 	 11.740000 	 12.630000 	 12.180000 	 459.500000 	 468.320000 	 494.520000 	 481.240000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.750000 	 0.790000 	 0.770000 	 13.250000 	 13.370000 	 15.160000 	 14.240000 	 473.530000 	 415.060000 	 455.580000 	 434.850000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.620000 	 0.650000 	 0.630000 	 13.550000 	 10.470000 	 11.460000 	 10.960000 	 461.180000 	 500.270000 	 533.680000 	 516.700000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.720000 	 0.680000 	 0.720000 	 0.700000 	 14.260000 	 12.810000 	 14.170000 	 13.470000 	 442.250000 	 429.050000 	 463.100000 	 445.750000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.640000 	 0.670000 	 0.650000 	 14.440000 	 11.770000 	 13.210000 	 12.470000 	 427.110000 	 438.560000 	 477.460000 	 457.600000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.620000 	 0.660000 	 0.640000 	 15.160000 	 11.760000 	 13.120000 	 12.420000 	 427.290000 	 445.300000 	 483.610000 	 464.060000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.620000 	 0.650000 	 0.630000 	 15.520000 	 11.970000 	 13.060000 	 12.500000 	 428.500000 	 461.730000 	 492.900000 	 477.060000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.710000 	 0.610000 	 0.650000 	 0.630000 	 15.240000 	 11.480000 	 12.670000 	 12.060000 	 437.410000 	 474.370000 	 511.030000 	 492.360000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.700000 	 0.690000 	 0.730000 	 0.710000 	 14.450000 	 13.240000 	 14.620000 	 13.910000 	 473.240000 	 447.500000 	 482.760000 	 464.790000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.370000 	 0.390000 	 0.380000 	 20.470000 	 9.840000 	 11.090000 	 10.440000 	 553.110000 	 770.400000 	 853.370000 	 810.820000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.420000 	 0.460000 	 0.440000 	 19.830000 	 12.200000 	 13.900000 	 13.020000 	 562.750000 	 662.850000 	 743.720000 	 702.120000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.380000 	 0.410000 	 0.400000 	 20.120000 	 10.240000 	 11.850000 	 11.010000 	 565.990000 	 745.200000 	 844.490000 	 793.290000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.410000 	 0.430000 	 0.420000 	 19.200000 	 11.130000 	 12.590000 	 11.840000 	 599.100000 	 730.320000 	 812.820000 	 770.470000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.370000 	 0.400000 	 0.390000 	 20.190000 	 9.570000 	 11.230000 	 10.370000 	 607.740000 	 831.830000 	 950.890000 	 889.370000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.530000 	 0.380000 	 0.410000 	 0.390000 	 19.750000 	 8.980000 	 10.670000 	 9.790000 	 617.120000 	 807.080000 	 927.030000 	 864.980000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
0.520000 	 0.380000 	 0.410000 	 0.400000 	 19.990000 	 10.450000 	 11.770000 	 11.090000 	 621.780000 	 805.310000 	 889.540000 	 846.380000 	 NaN 	 0.000000 	 0.000000 	 0.000000 	 NaN 	 0.000000 	 0.000000 	 0.000000 
